ConfigurationTriggerTime,configurationId,Crawled_Date,Ecommerce,Pincode,City,Country_Of_Origin,Navision_Code,SKU_Name,Brand_Name,Product_Name,MRP,Discount_Percentage,Discount_Amount,Price,Speciality,Rating_Count,Avg_Rating,Review_Count,Stock,Seller,Coupon,Offer,Weight,Unit_Of_Weight,Delivery,Recommend_Percentage,Key_Features,Super_Offer,Super_Saver,Available_Product_Count,Max_Allowed_Quantity,Other_Id,Other_Quantity,Service_Status
,,12/18/2025 02:13:54,Flipkart,560076,,,,Peanut Butter Crunchy 375gm,Dr.Oetker,Dr.Oetker Peanut Butter Crunchy,,,,,,63,4.4,1,Out of Stock,,,,375,Gram,,,,,,,,,,serviced
,,12/18/2025 02:14:09,Flipkart,560076,,,,Original Premium Veg Mayo 800gm,Wingreens,WINGREENS Premium Veg Mayo,,,,,,450,4.1,52,Out of Stock,,,,800,Gram,,,,,,,,,,serviced
,,12/18/2025 02:14:24,Flipkart,560093,,,,Veg Mayo Delite 750gm,Dr.Oetker,Dr Oetker Fun Foods Veg Mayonnaise De'lite,189,31,,129,,170,4.3,22,Out of Stock,SuperComNet,,,750,Gram,,,,,,,,,,serviced
,,12/18/2025 02:14:37,Flipkart,560076,,,,Eggless Veg Mayonnaise 700gm,Veeba,VEEBA EGGLESS Mayonnaise Chef's Special (700G) Sauce,,,,,,0,,0,Out of Stock,,,,700,Gram,,,,,,,,,,serviced
,,12/18/2025 02:14:52,Flipkart,560093,,,,Pasta Pizza Red Sauce 315gm,Dr.Oetker,FUNFOODS by Dr. Oetker Pasta & Pizza Red Sauce Preservative Free Sauce,99,16,,83,,259,4.3,17,Out of Stock,SuperComNet,,,315,Gram,,,,,,,,,,serviced
,,12/18/2025 02:15:07,Flipkart,560076,,,,Eggless Mayo 850gm,Del monte,Del Monte Eggless Mayo,,,,,,607,4.1,52,Out of Stock,,,,850,Gram,,,,,,,,,,serviced
,,12/18/2025 02:15:23,Flipkart,560076,,,,Chef Special Veg mayonnaise Smart 750gm,Veeba,VEEBA Veg Mayonnaise Smart Chef'S Special,218,40,,130,,290,4.2,23,Out of Stock,SuperComNet,,,750,Gram,,,,,,,,,,serviced
,,12/18/2025 02:15:39,Flipkart,560093,,,,Veg Mayo Original 800gm,Dr.Oetker,FUNFOODS by Dr. Oetker Veg Mayonnaise Original,199,27,,145,,1310,4.3,122,Out of Stock,SuperComNet,,,800,Gram,,,,,,,,,,serviced
,,12/18/2025 02:15:56,Flipkart,560093,,,,Veg Original 250gm,Dr.Oetker,FUNFOODS by Dr. Oetker Veg Mayonnaise Original,99,13,,86,,1310,4.3,122,Out of Stock,SuperComNet,,,250,Gram,,,,,,,,,,serviced
,,12/18/2025 02:16:11,Flipkart,560076,,,,Real Mayo 800gm,Hellmann's,Hellmann's Veg Mayonnaise,210,21,,164,,278,4.5,62,Instock,SuperComNet,,,775,Gram,,,,,,,,,,serviced
